"Now Shopping by","Huidige filters"
"Refund Online","Restitutie Online"
"Partial Refund Online","Gedeeltelijke terugbetaling Online"
"Partial Capture Offline","Gedeeltelijke off line vastleggen"
"Partial Refund Offline","Gedeeltelijke terugbetaling off line"
"Payments Functionality Matrix",Betalingsfunctionaliteitmatrix
"Job Code","Baan Code"
"Cron Expression","Cron expressie"
"Run Class","Klasse uitvoeren"
"Run Method","Voer methode uit"
"Group Code",Groepscode
"All Configurable Cron Jobs","Alle configureerbare Cron Jobs"
"All Global Cron Jobs","Alle globale Cron Jobs"
"Cron Schedules List","Cron schema's lijst"
"Schedule Id",Schema-Id
"Scheduled At","Gepland op"
"Executed At","Uitgevoerd op"
"Finished At","Eindigde op"
"Core Configurable Cron Jobs","Core configureerbare cron taken"
"Core Global Cron Jobs","Kern Global Cron Jobs"
"Cron Schedules by job code","Cron schema op taakcode"
Count,Aantal
"Cron Schedules by status code","Cron schema op statuscode"
"Custom Configurable Cron Jobs","Aangepaste configureerbare crontaken"
"Custom Global Cron Jobs","Aangepaste Globale Cron Jobs"
"Errors in Cron Schedules Queue","Fouten in cron schema wachtrij"
"Corrupted Categories Data","Beschadigde categorieën gegevens"
"Expected Children Count","Verwacht aantal Children"
"Actual Children Count","Feitelijk aantal Children"
"Expected Level","Verwacht niveau"
"Actual Level","Werkelijk niveau"
"Duplicate Categories By URL Key","Dubbele categorieën op URL sleutel"
"URL key","URL sleutel"
"Duplicate Orders By Increment Id","Dubbele bestellingen op ophogend Id"
"Increment Id","Hoog ID op"
"Customer Id","Klant ID"
"Duplicate Products By SKU","Dubbele producten op art.nr."
"Duplicate Products By URL Key","Dubbele producten op URL sleutel"
"Duplicate Users By Email","Dubbele gebruikers op E-Mail"
Parent,Bovenliggende
"Adminhtml Themes List","Lijst adminhtml Thema's"
"Frontend Themes List","Lijst Frontend thema's"
"Event Name",Gebeurtenisnaam
"Observer Class",Waarnemersklasse
Method,Methode
"All Admin Events","Alle Admin gebeurtenissen"
"All Crontab Events","Alle crontab gebeurtenissen"
"All Doc Events","Alle Doc gebeurtenissen"
"All Frontend Events","Alle Frontend gebeurtenissen"
"All Global events","Alle globale gebeurtenissen"
"All REST Events","Alle REST gebeurtenissen"
"All SOAP Events","Alle SOAP gebeurtenissen"
"Core Admin Events","Kern Admin gebeurtenissen"
"Core Crontab Events","Kern crontab gebeurtenissen"
"Core Doc Events","Kern Doc gebeurtenissen"
"Core Frontend Events","Kern Frontend gebeurtenissen"
"Core Global Events","Kern globale gebeurtenissen"
"Core REST Events","Kern REST gebeurtenissen"
"Core SOAP Events","Kern SOAP gebeurtenissen"
"Custom Admin Events","Aangepaste Admin gebeurtenissen"
"Custom Crontab Events","Aangepaste Crontab gebeurtenissen"
"Custom Doc Events","Aangepaste Doc gebeurtenissen"
"Custom Frontend Events","Aangepaste Frontend gebeurtenissen"
"Custom Global Events","Aangepaste globale gebeurtenissen"
"Custom REST Events","Aangepaste REST gebeurtenissen"
"Custom SOAP Events","Aangepaste SOAP gebeurtenissen"
"Log Files",Logbestanden
"Log Entries","Logboek aantekeningen"
"Last Update","Laatste wijziging"
"Today's Top Debug Messages","Top Debug Berichten van vandaag"
"Last Occurrence","Laatste exemplaar"
"Today's Top Exception Messages","Top Exceptie Berichten van vandaag"
"Today's Top System Messages","Top Systeem Berichten van vandaag"
"Top Debug Messages","Top debugberichten"
"Top Exception Messages","Top Exceptie Berichten"
"Top System Messages","Top Systeemberichten"
"Store Views List","Winkelaanzichten overzicht"
"Stores List",Winkellijst
"Websites List","Websites lijst"
"There was an error while loading system report data.","Er is een fout opgetreden tijdens het laden van de systeem rapportgegevens."
"Cannot save backup. The reason is: Utility lsof not found","Back-up kan niet worden opgeslagen: Reden: Isof Utilty niet gevonden"
"Test error","Test fout"
"Entity Type Code","Type eenheidcode"
"Source Model","Bron model"
"Backend Model",Backend-model
"Frontend Model","Frontend model"
"Show Log","Logboek tonen"
"Delete ""%1""","Verwijder ""%1"""
"Are you sure you want to delete a ""%1"" record?","Ben u zeker dat u ""%1"" rijen wilt verwijderen?"
"Are you sure you wan't to delete a ""%1"" record?","Ben u zeker dat u een ""%1"" rij wilt verwijderen?"
"Empty log","Log legen"
"Backup ID: ","Backup-ID: "
Collapse,Inklappen
Expand,Uitklappen
" (no data)"," (geen gegevens)"
"No data","Geen data"
"Support Data Collector","Support-gegevens verzamelaar"
"Support System Report","Systeemverslag ondersteuning"
"System Report",Systeemverslag
Logs,Log
Events,gebeurtenissen
"New Backup","Nieuwe back-up"
"Refresh Status","Status vernieuwen"
"Are you sure you want to delete selected item(s)?","Weet u zeker dat u de geselecteerde product(en) wilt verwijderen?"
"Choose Report Groups","Kies verslag groepen"
"New Report","Nieuw rapport"
"Date Generated","Datum gegenereerd"
"Report Groups",Verslag-groepen
"All processes should be completed.","Alle processen moeten voltooid zijn."
"The ""%1"" utility wasn't found. Verify the utility and try again.","De entiteit ""%1"" is niet gevonden. Controleer en probeer het opnieuw."
"The ""%1"" utility is unknown. Verify the utility and try again.","De entiteit ""%1"" is onbekend. Controleer en probeer het opnieuw."
"The root category can't be set. Verify the category and try again.","De hoofdcategorie kan niet worden ingesteld. Controleer de categorie en probeer het nogmaals."
"Save and Continue",Toepassen
"Save Configuration","Configuratie opslaan"
Themes,Thema's
"Are you sure you want to delete this theme?","Weet u zeker dat u dit artikel wil verwijderen?"
"Theme: %1","Thema: %1"
"Theme CSS","Thema CSS"
"Custom CSS","Aangepaste CSS"
"Select CSS File to Upload","Selecteer CSS bestand om te uploaden"
"Upload CSS File","Upload CSS bestand"
"Download CSS File","Download CSS bestand"
Manage,Beheren
"Images Assets","Assets afbeeldingen"
"Upload Fonts","Uploaden van lettertypen"
"Fonts Assets","Assest lettertypes"
"Edit custom.css","Bewerk custom.css"
"Allowed file types *.css.","Toegestane file types *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Dit bestand zal de huidige custom.css overschrijven en mag niet groter zijn dan 2 MB."
"Max file size to upload %1M","Maximale upload bestandsgrootte %1M"
"Something is wrong with the file upload settings.","Er is iets mis met de bestand upload instellingen."
"CSS Editor",CSS-Editor
"Theme Settings","Thema instellingen"
"Parent Theme","Bovenliggend Thema"
"Theme Path","Thema pad"
"Theme Title","Thema titel"
"Theme Preview Image","Voorvertoning thema-afbeelding"
"Copy of %1","Kopie van %1"
"Max image size %1M","Maximale afbeeldingsgrootte %1M"
"Theme JavaScript","Thema JavaScript"
"Select JS Files to Upload","Selecteer JS bestanden om te uploaden"
"Upload JS Files","Upload JS bestanden"
"Allowed file types *.js.","Toegestane bestandtypes *.js."
welcome,welkom
"Design Configuration",Ontwerpconfiguratie
"You deleted the theme.","U heeft het thema verwijderd."
"We cannot delete the theme.","We kunnen het thema niet verwijderen."
"File not found: ""%1"".","Bestand niet gevonden: ""%1""."
"We can't find file.","We kunnen het bestand niet vinden."
"We cannot find theme ""%1"".","We kunnen het thema ""%1"" niet vinden."
"We cannot find the theme.","We kunnen het thema niet vinden."
"This theme is not editable.","Dit thema kan niet worden bewerkt."
"You saved the theme.","U heeft het thema opgeslagen."
"We can't upload the CSS file right now.","We kunnen het CSS bestand momenteel niet uploaden."
"We cannot find a theme with id ""%1"".","We kunnen geen thema vinden met id ""%1""."
"We can't upload the JS file right now.","We kunnen het JS bestand momenteel niet uploaden."
"Sorry, something went wrong. That's all we know.","Er ging iets mis. Verder is er geen informatie."
"Invalid type","Ongeldig type"
"Invalid scope or scope id","Ongeldige scope of de scope-id"
"%1 does not contain field '%2'","%1 bevat geen veld '%2'"
"Invalid regular expression: ""%1"".","Ongeldige reguliere expressie: ""%1""."
"%1 does not contain field 'file'","%1 bevat geen veld 'file'"
"Backend model is not specified for %1","Backend-model is niet opgegeven voor %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","De %templateName bevat een onjuiste configuratie. De sjabloon heeft een verwijzing naar zichzelf. Verwijder of wijzig de verwijzing."
"Can not save empty config","Lege config kan niet opgeslagen worden"
"The start date can't follow the end date.","De begindatum moet eerder zijn dan de einddatum."
"The date range for this design change overlaps another design change for the specified store.","Het datumbereik voor deze layout wijziging overlapt een andere layout wijziging voor de opgegeven winkel."
"Theme id should be set","Thema id moet worden ingesteld"
"Circular-reference in theme inheritance detected for ""%1""","Kringverwijzing in thema overerving waargenomen voor ""%1"""
"The CSS file must be less than %1M.","Het CSS bestand moet kleiner zijn dan %1M."
"The JS file must be less than %1M.","Het JS bestand moet kleiner zijn dan %1M."
"Use only standard alphanumeric, dashes and underscores.","Gebruik enkel alfanumerieke tekens, streepjes en liggende streepjes."
"We found a directory with the same name.","We vonden een map met dezelfde naam."
"We cannot find a directory with this name.","Wij kunnen een map met deze naam niet vinden."
"Theme isn't deletable.","Thema is niet verwijderbaar."
"localized exception","gelokaliseerde uitzondering"
Phrase,Zin
"We found no files.","We vonden geen bestanden."
"Browse Files","Door bestanden bladeren"
Scope:,Bereik:
"Help Us Keep Magento Healthy","Help ons Magento gezond te houden"
"Report All Bugs","Rapporteer alle bugs."
"JavaScript seems to be disabled in your browser.","JavaScript lijkt te zijn uitgeschakeld in uw browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Voor de beste gebruikerservaring, zorg ervoor dat javascript ingeschakeld is voor uw browser."
"Local Storage seems to be disabled in your browser.","Lokale opslag lijkt te zijn uitgeschakeld in uw browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Voor de beste gebruikservaring, moet u lokale opslag inschakelen in uw browser."
"This is demo store. No orders will be fulfilled.","Dit is een demo winkel. Er zullen geen bestellingen worden uitgevoerd."
"Items %1 to %2 of %3 total","Producten %1 tot %2 van %3 in totaal"
"%1 Item(s)","%1 producten(en)"
"Store alternative addresses (for shipping to multiple family members and friends)","Meerdere adressen opslaan (om bijvoorbeeld bestellingen naar vrienden en familie te sturen)"
"We don't recognize this file extension.","We herkennen dit bestandsformaat niet."
"1 column","1 kolom"
"Default welcome msg!",Standaard-welkomstbericht
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-heden Magento. Alle rechten voorbehouden."
"Design Config Grid",Ontwerpconfiguratietabel
"Rebuild design config grid index","Ontwerpconfigiguratietabel index opnieuw maken"
"Admin empty","Admin leeg"
"Theme Information",Ontwerpinformatie
"HTML Head","HTML head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Toegestande bestandstypen: ico, png, gif, jpeg, apng, svg. Niet alle browsers ondersteunen al deze formaten!"
"Favicon Icon","Favicon Icoon"
"Default Page Title","Standaard pagina titel"
"Page Title Prefix","Paginatitel voorvoegsel"
"Page Title Suffix","Paginatitel achtervoegsel"
"Default Meta Description","Standaard Meta Description"
"Default Meta Keywords","Standaard Meta Keywords"
"This will be included before head closing tag in page HTML.","Dit script wordt geplaatst aan het begin van de HTML pagina, voor het einde van HEAD."
"Scripts and Style Sheets","Scripts en stylesheets"
"Display Demo Store Notice","Toon melding demowinkel"
"Allowed file types: png, gif, jpg, jpeg.","Toegestane bestandstypes: png, gif, jpg, jpeg."
